article_id,local_url,external_url,preferred_canonical,migration_status,external_verified,verified_at,action_required
b8e3de0c3a9d,https://1200km.com/articles/read/2026/2026-08-15-ai-security-course-module-00-chapter-4-b8e3de0c3a9d,https://medium.com/@1200km/ai-security-course-module-00-chapter-4-b8e3de0c3a9d,https://1200km.com/articles/read/2026/2026-08-15-ai-security-course-module-00-chapter-4-b8e3de0c3a9d,migration-pending,false,,verify external rendered canonical and update publication settings
024914c8670f,https://1200km.com/articles/read/2026/2026-08-13-aidebug-3-1-full-release-review,https://1200km.com/articles/read/2026/2026-08-13-aidebug-3-1-full-release-review,https://1200km.com/articles/read/2026/2026-08-13-aidebug-3-1-full-release-review,local-confirmed,true,2026-08-13,none
391815ee35e2,https://1200km.com/articles/read/2026/2026-08-12-strings-analysis-for-malware-analysis-turning-391815ee35e2,https://medium.com/@1200km/strings-analysis-for-malware-analysis-turning-391815ee35e2,https://1200km.com/articles/read/2026/2026-08-12-strings-analysis-for-malware-analysis-turning-391815ee35e2,migration-pending,false,,verify external rendered canonical and update publication settings
d93acb97d9f3,https://1200km.com/articles/read/2026/2026-08-10-pe-file-structure-for-malware-analysis-d93acb97d9f3,https://medium.com/@1200km/pe-file-structure-for-malware-analysis-d93acb97d9f3,https://1200km.com/articles/read/2026/2026-08-10-pe-file-structure-for-malware-analysis-d93acb97d9f3,migration-pending,false,,verify external rendered canonical and update publication settings
be0679241940,https://1200km.com/articles/read/2026/2026-08-09-assembly-for-malware-analysis-be0679241940,https://medium.com/@1200km/assembly-for-malware-analysis-be0679241940,https://1200km.com/articles/read/2026/2026-08-09-assembly-for-malware-analysis-be0679241940,migration-pending,false,,verify external rendered canonical and update publication settings
1bf0411472f6,https://1200km.com/articles/read/2026/2026-08-08-ai-security-course-module-00-chapter-3-1bf0411472f6,https://medium.com/@1200km/ai-security-course-module-00-chapter-3-1bf0411472f6,https://1200km.com/articles/read/2026/2026-08-08-ai-security-course-module-00-chapter-3-1bf0411472f6,migration-pending,false,,verify external rendered canonical and update publication settings
0287d3964602,https://1200km.com/articles/read/2026/2026-08-07-how-to-build-a-safe-malware-analysis-lab-with-flare-vm-remnux-and-inetsim-0287d3964602,https://medium.com/@1200km/how-to-build-a-safe-malware-analysis-lab-with-flare-vm-remnux-and-inetsim-0287d3964602,https://1200km.com/articles/read/2026/2026-08-07-how-to-build-a-safe-malware-analysis-lab-with-flare-vm-remnux-and-inetsim-0287d3964602,migration-pending,false,,verify external rendered canonical and update publication settings
93746950ce9a,https://1200km.com/articles/read/2026/2026-08-06-what-is-malware-93746950ce9a,https://medium.com/@1200km/what-is-malware-93746950ce9a,https://1200km.com/articles/read/2026/2026-08-06-what-is-malware-93746950ce9a,migration-pending,false,,verify external rendered canonical and update publication settings
69381c74a59c,https://1200km.com/articles/read/2026/2026-08-02-ai-security-course-module-00-part-2-69381c74a59c,https://medium.com/@1200km/ai-security-course-module-00-chapter-2-69381c74a59c,https://1200km.com/articles/read/2026/2026-08-02-ai-security-course-module-00-part-2-69381c74a59c,migration-pending,false,,verify external rendered canonical and update publication settings
2e26c0740a17,https://1200km.com/articles/read/2026/2026-08-01-ai-security-course-module-00-part-1-introduction-ai-ml-taxonomy-2e26c0740a17,https://infosecwriteups.com/ai-security-course-module-00-part-1-introduction-ai-ml-taxonomy-and-data-foundations-2e26c0740a17,https://1200km.com/articles/read/2026/2026-08-01-ai-security-course-module-00-part-1-introduction-ai-ml-taxonomy-2e26c0740a17,migration-pending,false,,verify external rendered canonical and update publication settings
